"record_id","partition"
"RW0180","training"
"RW0181","training"
"RW0182","training"
"RW0183","holdout"
"RW0184","training"
"RW0185","holdout"
"RW0186","training"
"RW0187","training"
"RW0188","training"
"RW0189","training"
"RW0190","training"
"RW0191","training"
"RW0192","holdout"
"RW0193","training"
"RW0194","training"
"RW0195","training"
"RW0196","holdout"
"RW0197","training"
"RW0198","training"
"RW0199","training"
"RW0200","holdout"
"RW0201","holdout"
"RW0202","training"
"RW0203","training"
"RW0204","training"
"RW0205","training"
"RW0206","training"
"RW0207","training"
"RW0208","training"
"RW0209","training"
"RW0210","training"
"RW0211","training"
"RW0212","training"
"RW0213","training"
"RW0214","holdout"
"RW0215","training"
"RW0216","holdout"
"RW0217","training"
"RW0218","holdout"
"RW0219","training"
"RW0220","holdout"
"RW0221","holdout"
"RW0222","training"
"RW0223","training"
"RW0224","training"
"RW0225","training"
"RW0226","training"
"RW0227","training"
"RW0228","training"
"RW0229","training"
"RW0230","holdout"
"RW0231","training"
"RW0232","holdout"
"RW0233","training"
"RW0234","training"
"RW0235","holdout"
"RW0236","training"
"RW0237","training"
"RW0238","training"
"RW0239","training"
"RW0240","training"
"RW0241","training"
"RW0242","training"
"RW0243","training"
"RW0244","training"
"RW0245","training"
"RW0246","training"
"RW0247","training"
"RW0248","holdout"
"RW0249","training"
"RW0250","training"
"RW0251","training"
"RW0252","training"
"RW0253","training"
"RW0254","training"
"RW0255","training"
"RW0256","training"
"RW0257","training"
"RW0258","training"
"RW0259","training"
"RW0260","training"
"RW0261","training"
"RW0262","holdout"
"RW0263","training"
"RW0264","holdout"
"RW0265","training"
"RW0266","holdout"
"RW0267","holdout"
"RW0268","training"
"RW0269","holdout"
"RW0270","training"
"RW0271","training"
"RW0272","training"
"RW0273","training"
"RW0274","training"
"RW0275","holdout"
"RW0276","holdout"
"RW0277","holdout"
"RW0278","holdout"
"RW0279","training"
"RW0280","holdout"
"RW0281","training"
"RW0282","training"
"RW0283","training"
"RW0284","training"
"RW0285","holdout"
"RW0286","holdout"
"RW0287","training"
"RW0288","holdout"
"RW0289","training"
"RW0290","holdout"
"RW0291","training"
"RW0292","holdout"
"RW0293","holdout"
"RW0294","training"
"RW0295","training"
"RW0296","training"
"RW0297","training"
"RW0298","holdout"
"RW0299","holdout"
"RW0300","training"
"RW0301","training"
"RW0302","training"
"RW0303","training"
"RW0304","training"
"RW0305","training"
"RW0306","training"
"RW0307","training"
"RW0308","training"
"RW0309","training"
"RW0310","training"
"RW0311","training"
"RW0312","holdout"
"RW0313","training"
"RW0314","training"
"RW0315","training"
"RW0316","training"
"RW0317","training"
"RW0318","training"
"RW0319","training"
"RW0320","training"
"RW0321","training"
"RW0322","holdout"
"RW0323","training"
"RW0324","training"
"RW0325","holdout"
"RW0326","training"
"RW0327","holdout"
"RW0328","training"
"RW0329","holdout"
"RW0330","training"
"RW0331","training"
"RW0332","training"
"RW0333","training"
"RW0334","training"
"RW0335","holdout"
"RW0336","training"
"RW0337","training"
"RW0338","training"
"RW0339","training"
"RW0340","training"
"RW0341","holdout"
"RW0342","training"
"RW0343","training"
"RW0344","training"
"RW0345","training"
"RW0346","training"
"RW0347","training"
"RW0348","training"
"RW0349","holdout"
"RW0350","holdout"
"RW0351","training"
"RW0352","holdout"
"RW0353","training"
"RW0354","holdout"
"RW0355","training"
"RW0356","training"
"RW0357","training"
"RW0358","training"
"RW0359","training"
"RW0360","training"
"RW0361","training"
"RW0362","training"
"RW0363","holdout"
"RW0364","training"
"RW0365","training"
"RW0366","training"
"RW0367","training"
"RW0368","training"
"RW0369","training"
"RW0370","training"
"RW0371","training"
"RW0372","training"
"RW0373","training"
"RW0374","holdout"
"RW0375","holdout"
"RW0376","training"
"RW0377","training"
"RW0378","holdout"
"RW0379","training"
"RW0380","training"
"RW0381","holdout"
"RW0382","training"
"RW0383","holdout"
"RW0384","training"
"RW0385","training"
"RW0386","training"
"RW0387","holdout"
"RW0388","training"
"RW0389","training"
"RW0390","training"
"RW0391","training"
"RW0392","training"
"RW0393","holdout"
"RW0394","training"
"RW0395","training"
"RW0396","holdout"
"RW0397","training"
"RW0398","training"
"RW0399","training"
"RW0400","training"
"RW0401","training"
"RW0402","training"
"RW0403","holdout"
"RW0404","holdout"
"RW0405","holdout"
"RW0406","training"
"RW0407","training"
"RW0408","training"
"RW0409","holdout"
"RW0410","training"
"RW0411","training"
"RW0412","holdout"
"RW0413","training"
"RW0414","training"
"RW0415","training"
"RW0416","training"
"RW0417","holdout"
"RW0418","holdout"
"RW0419","holdout"
"RW0420","training"
"RW0421","training"
"RW0422","holdout"
"RW0423","training"
"RW0424","training"
"RW0425","holdout"
"RW0426","training"
"RW0427","training"
"RW0428","holdout"
"RW0429","training"
"RW0430","training"
"RW0431","training"
"RW0432","training"
"RW0433","training"
"RW0434","training"
"RW0435","training"
"RW0436","training"
"RW0437","training"
"RW0438","training"
"RW0439","holdout"
"RW0440","holdout"
"RW0441","training"
"RW0442","training"
"RW0443","training"
"RW0444","training"
"RW0445","holdout"
"RW0446","training"
"RW0447","training"
"RW0448","training"
"RW0449","training"
"RW0450","training"
"RW0451","holdout"
"RW0452","training"
"RW0453","training"
"RW0454","training"
"RW0455","training"
"RW0456","training"
"RW0457","training"
"RW0458","training"
"RW0459","training"
"RW0460","training"
"RW0461","training"
"RW0462","holdout"
"RW0463","holdout"
"RW0464","holdout"
"RW0465","holdout"
"RW0466","training"
"RW0467","training"
"RW0468","training"
"RW0469","holdout"
"RW0470","training"
"RW0471","training"
"RW0472","training"
"RW0473","training"
"RW0474","training"
"RW0475","training"
"RW0476","training"
"RW0477","holdout"
"RW0478","training"
"RW0479","training"
"RW0480","training"
"RW0481","training"
"RW0482","training"
"RW0483","holdout"
"RW0484","training"
"RW0485","training"
"RW0486","holdout"
"RW0487","training"
"RW0488","training"
"RW0489","training"
"RW0490","holdout"
"RW0491","training"
"RW0492","training"
"RW0493","training"
"RW0494","training"
"RW0495","training"
"RW0496","training"
"RW0497","training"
"RW0498","training"
"RW0499","holdout"
"RW0500","training"
"RW0501","training"
"RW0502","training"
"RW0503","training"
"RW0504","holdout"
"RW0505","training"
"RW0506","holdout"
"RW0507","training"
"RW0508","training"
"RW0509","holdout"
"RW0510","training"
"RW0511","training"
"RW0512","holdout"
"RW0513","training"
"RW0514","training"
"RW0515","holdout"
"RW0516","training"
"RW0517","holdout"
"RW0518","holdout"
"RW0519","holdout"
"RW0520","training"
"RW0521","training"
"RW0522","training"
"RW0523","training"
"RW0524","training"
"RW0525","training"
"RW0526","training"
"RW0527","training"
"RW0528","training"
"RW0529","training"
"RW0530","holdout"
"RW0531","holdout"
"RW0532","holdout"
"RW0533","holdout"
"RW0534","training"
"RW0535","training"
"RW0536","training"
"RW0537","training"
"RW0538","training"
"RW0539","holdout"
"RW0540","training"
"RW0541","training"
"RW0542","training"
"RW0543","training"
"RW0544","training"
"RW0545","training"
"RW0546","training"
"RW0547","training"
"RW0548","training"
"RW0549","training"
"RW0550","training"
"RW0551","training"
"RW0552","holdout"
"RW0553","training"
"RW0554","holdout"
"RW0555","training"
"RW0556","holdout"
"RW0557","training"
"RW0558","training"
"RW0559","training"
"RW0560","training"
"RW0561","holdout"
"RW0562","training"
"RW0563","training"
"RW0564","training"
"RW0565","holdout"
"RW0566","training"
"RW0567","training"
"RW0568","holdout"
"RW0569","training"
"RW0570","training"
"RW0571","training"
"RW0572","holdout"
"RW0573","training"
"RW0574","training"
"RW0575","training"
"RW0576","training"
"RW0577","training"
"RW0578","holdout"
"RW0579","training"
"RW0580","training"
"RW0581","training"
"RW0582","holdout"
"RW0583","training"
"RW0584","training"
"RW0585","training"
"RW0586","training"
"RW0587","training"
"RW0588","training"
"RW0589","holdout"
"RW0590","training"
"RW0591","training"
"RW0592","training"
"RW0593","training"
"RW0594","training"
"RW0595","training"
"RW0596","training"
"RW0597","training"
"RW0598","training"
"RW0599","training"
"RW0600","training"
"RW0601","training"
"RW0602","training"
"RW0603","training"
"RW0604","training"
"RW0605","training"
"RW0606","training"
"RW0607","training"
"RW0608","training"
"RW0609","training"
"RW0610","training"
"RW0611","holdout"
"RW0612","training"
"RW0613","training"
"RW0614","training"
"RW0615","holdout"
"RW0616","training"
"RW0617","training"
"RW0618","holdout"
"RW0619","training"
"RW0620","training"
"RW0621","training"
"RW0622","training"
"RW0623","holdout"
"RW0624","holdout"
"RW0625","training"
"RW0626","training"
"RW0627","training"
"RW0628","training"
"RW0629","holdout"
"RW0630","training"
"RW0631","training"
"RW0632","holdout"
"RW0633","training"
"RW0634","training"
"RW0635","training"
"RW0636","training"
"RW0637","training"
"RW0638","training"
"RW0639","training"
"RW0640","holdout"
"RW0641","holdout"
"RW0642","training"
"RW0643","training"
"RW0644","holdout"
"RW0645","training"
"RW0646","training"
"RW0647","training"
"RW0648","training"
"RW0649","training"
"RW0650","training"
"RW0651","training"
"RW0652","training"
"RW0653","training"
"RW0654","training"
"RW0655","holdout"
"RW0656","training"
"RW0657","holdout"
"RW0658","training"
"RW0659","holdout"
"RW0660","holdout"
"RW0661","training"
"RW0662","training"
"RW0663","training"
"RW0664","holdout"
"RW0665","holdout"
"RW0666","training"
"RW0667","holdout"
"RW0668","holdout"
"RW0669","training"
"RW0670","holdout"
"RW0671","training"
"RW0672","training"
"RW0673","training"
"RW0674","training"
"RW0675","training"
"RW0676","training"
"RW0677","training"
"RW0678","holdout"
"RW0679","training"
"RW0680","holdout"
"RW0681","training"
"RW0682","training"
"RW0683","training"
"RW0684","training"
"RW0685","training"
"RW0686","training"
"RW0687","holdout"
"RW0688","training"
"RW0689","training"
"RW0690","training"
"RW0691","training"
"RW0692","training"
"RW0693","holdout"
"RW0694","training"
"RW0695","training"
"RW0696","training"
"RW0697","holdout"
"RW0698","training"
"RW0699","training"
"RW0700","holdout"
"RW0701","training"
"RW0702","training"
"RW0703","training"
"RW0704","training"
"RW0705","training"
"RW0706","holdout"
"RW0707","training"
"RW0708","training"
"RW0709","training"
"RW0710","training"
"RW0711","training"
"RW0712","training"
"RW0713","training"
"RW0714","holdout"
"RW0715","training"
"RW0716","training"
"RW0717","training"
"RW0718","training"
"RW0719","training"
"RW0720","training"
"RW0721","holdout"
"RW0722","training"
"RW0723","training"
"RW0724","training"
"RW0725","training"
"RW0726","training"
"RW0727","training"
"RW0728","training"
"RW0729","training"
"RW0730","training"
"RW0731","training"
"RW0732","training"
"RW0733","training"
"RW0734","training"
"RW0735","training"
"RW0736","training"
"RW0737","holdout"
"RW0738","holdout"
"RW0739","training"
"RW0740","training"
"RW0741","training"
"RW0742","holdout"
"RW0743","training"
"RW0744","training"
"RW0745","training"
"RW0746","training"
"RW0747","training"
"RW0748","training"
"RW0749","training"
"RW0750","training"
"RW0751","training"
"RW0752","training"
"RW0753","training"
"RW0754","training"
"RW0755","holdout"
"RW0756","training"
"RW0757","training"
"RW0758","training"
"RW0759","holdout"
"RW0760","training"
"RW0761","training"
"RW0762","training"
"RW0763","training"
"RW0764","holdout"
"RW0765","training"
"RW0766","training"
"RW0767","training"
"RW0768","holdout"
"RW0769","holdout"
"RW0770","holdout"
"RW0771","training"
"RW0772","training"
"RW0773","training"
"RW0774","training"
"RW0775","training"
"RW0776","holdout"
"RW0777","training"
"RW0778","holdout"
"RW0779","training"
"RW0780","training"
"RW0781","training"
"RW0782","training"
"RW0783","training"
"RW0784","training"
"RW0785","holdout"
"RW0786","holdout"
"RW0787","training"
"RW0788","training"
"RW0789","holdout"
"RW0790","training"
"RW0791","training"
"RW0792","training"
"RW0793","training"
"RW0794","holdout"
"RW0795","training"
"RW0796","training"
"RW0797","training"
"RW0798","training"
"RW0799","holdout"
"RW0800","training"
"RW0801","training"
"RW0802","training"
"RW0803","training"
"RW0804","training"
"RW0805","holdout"
"RW0806","training"
"RW0807","training"
"RW0808","training"
"RW0809","training"
"RW0810","training"
"RW0811","training"
"RW0812","holdout"
"RW0813","training"
"RW0814","holdout"
"RW0815","training"
"RW0816","training"
"RW0817","holdout"
"RW0818","holdout"
"RW0819","training"
"RW0820","training"
"RW0821","training"
"RW0822","training"
"RW0823","training"
"RW0824","training"
"RW0825","training"
"RW0826","holdout"
"RW0827","training"
"RW0828","training"
"RW0829","training"
"RW0830","training"
"RW0831","training"
"RW0832","holdout"
"RW0833","training"
"RW0834","training"
"RW0835","training"
"RW0836","training"
"RW0837","training"
"RW0838","holdout"
"RW0839","training"
"RW0840","training"
"RW0841","holdout"
"RW0842","training"
"RW0843","training"
"RW0844","training"
"RW0845","training"
"RW0846","holdout"
"RW0847","training"
"RW0848","training"
"RW0849","training"
"RW0850","training"
"RW0851","holdout"
"RW0852","training"
"RW0853","holdout"
"RW0854","training"
"RW0855","training"
"RW0856","training"
"RW0857","training"
"RW0858","holdout"
"RW0859","training"
"RW0860","holdout"
"RW0861","training"
"RW0862","training"
"RW0863","training"
"RW0864","training"
"RW0865","holdout"
"RW0866","training"
"RW0867","holdout"
"RW0868","training"
"RW0869","training"
"RW0870","training"
"RW0871","training"
"RW0872","training"
"RW0873","holdout"
"RW0874","training"
"RW0875","holdout"
"RW0876","training"
"RW0877","training"
"RW0878","training"
"RW0879","training"
"RW0880","holdout"
"RW0881","training"
"RW0882","training"
"RW0883","holdout"
"RW0884","training"
"RW0885","training"
"RW0886","training"
"RW0887","training"
"RW0888","training"
"RW0889","training"
"RW0890","holdout"
"RW0891","training"
"RW0892","training"
"RW0893","training"
"RW0894","training"
"RW0895","training"
"RW0896","training"
"RW0897","training"
"RW0898","training"
"RW0899","training"
"RW0900","training"
"RW0901","training"
"RW0902","training"
"RW0903","training"
"RW0904","training"
"RW0905","holdout"
"RW0906","training"
"RW0907","training"
"RW0908","training"
"RW0909","holdout"
"RW0910","training"
"RW0911","training"
"RW0912","holdout"
"RW0913","training"
"RW0914","training"
"RW0915","training"
"RW0916","training"
"RW0917","holdout"
"RW0918","training"
"RW0919","training"
"RW0920","training"
"RW0921","training"
"RW0922","training"
"RW0923","training"
"RW0924","training"
"RW0925","training"
"RW0926","training"
"RW0927","training"
"RW0928","holdout"
"RW0929","holdout"
"RW0930","training"
"RW0931","training"
"RW0932","training"
"RW0933","training"
"RW0934","training"
"RW0935","holdout"
"RW0936","training"
"RW0937","training"
"RW0938","training"
"RW0939","training"
"RW0940","training"
"RW0941","training"
"RW0942","training"
"RW0943","holdout"
"RW0944","training"
"RW0945","training"
"RW0946","training"
"RW0947","holdout"
"RW0948","training"
"RW0949","training"
"RW0950","training"
"RW0951","training"
"RW0952","training"
"RW0953","training"
"RW0954","training"
"RW0955","training"
"RW0956","training"
"RW0957","training"
"RW0958","training"
"RW0959","training"
"RW0960","training"
"RW0961","training"
"RW0962","training"
"RW0963","training"
"RW0964","training"
"RW0965","training"
"RW0966","training"
"RW0967","holdout"
"RW0968","training"
"RW0969","training"
"RW0970","training"
"RW0971","training"
"RW0972","training"
"RW0973","training"
"RW0974","training"
"RW0975","training"
"RW0976","training"
"RW0977","training"
"RW0978","holdout"
"RW0979","training"
"RW0980","training"
"RW0981","training"
"RW0982","holdout"
"RW0983","training"
"RW0984","holdout"
"RW0985","holdout"
"RW0986","holdout"
"RW0987","training"
"RW0988","training"
"RW0989","holdout"
"RW0990","training"
"RW0991","training"
"RW0992","training"
"RW0993","training"
"RW0994","holdout"
"RW0995","training"
"RW0996","holdout"
"RW0997","training"
"RW0998","training"
"RW0999","training"
"RW1000","training"
"RW1001","training"
"RW1002","training"
"RW1003","training"
"RW1004","training"
"RW1005","training"
"RW1006","training"
"RW1007","training"
"RW1008","training"
"RW1009","training"
"RW1010","holdout"
"RW1011","training"
"RW1012","training"
"RW1013","training"
"RW1014","training"
"RW1015","training"
"RW1016","training"
"RW1017","training"
"RW1018","training"
"RW1019","training"
"RW1020","holdout"
"RW1021","holdout"
"RW1022","training"
"RW1023","training"
"RW1024","holdout"
"RW1025","training"
"RW1026","training"
"RW1027","training"
"RW1028","training"
"RW1029","training"
"RW1030","training"
"RW1031","training"
"RW1032","training"
"RW1033","training"
"RW1034","training"
"RW1035","training"
"RW1036","holdout"
"RW1037","training"
"RW1038","training"
"RW1039","holdout"
"RW1040","training"
"RW1041","training"
"RW1042","training"
"RW1043","holdout"
"RW1044","holdout"
"RW1045","training"
"RW1046","training"
"RW1047","training"
"RW1048","holdout"
"RW1049","training"
"RW1050","training"
"RW1051","training"
"RW1052","holdout"
"RW1053","training"
"RW1054","training"
"RW1055","training"
"RW1056","training"
"RW1057","training"
"RW1058","training"
"RW1059","training"
"RW1060","training"
"RW1061","training"
"RW1062","holdout"
"RW1063","training"
"RW1064","holdout"
"RW1065","training"
"RW1066","training"
"RW1067","training"
"RW1068","holdout"
"RW1069","training"
"RW1070","holdout"
"RW1071","training"
"RW1072","training"
"RW1073","training"
"RW1074","training"
"RW1075","training"
"RW1076","training"
"RW1077","training"
"RW1078","training"
"RW1079","holdout"
"RW1080","holdout"
"RW1081","training"
"RW1082","training"
"RW1083","training"
"RW1084","training"
"RW1085","training"
"RW1086","training"
"RW1087","training"
"RW1088","training"
"RW1089","training"
"RW1090","training"
"RW1091","training"
"RW1092","holdout"
"RW1093","training"
"RW1094","training"
"RW1095","holdout"
"RW1096","training"
"RW1097","training"
"RW1098","training"
"RW1099","holdout"
"RW1100","training"
"RW1101","training"
"RW1102","training"
"RW1103","training"
"RW1104","training"
"RW1105","training"
"RW1106","training"
"RW1107","training"
"RW1108","training"
"RW1109","training"
"RW1110","training"
"RW1111","training"
"RW1112","training"
"RW1113","training"
"RW1114","holdout"
"RW1115","training"
"RW1116","training"
"RW1117","training"
"RW1118","training"
"RW1119","training"
"RW1120","training"
"RW1121","training"
"RW1122","holdout"
"RW1123","holdout"
"RW1124","training"
"RW1125","training"
"RW1126","training"
"RW1127","training"
"RW1128","training"
"RW1129","training"
"RW1130","training"
"RW1131","training"
"RW1132","training"
"RW1133","training"
"RW1134","holdout"
"RW1135","training"
"RW1136","training"
"RW1137","training"
"RW1138","training"
"RW1139","training"
"RW1140","training"
"RW1141","training"
"RW1142","training"
"RW1143","training"
"RW1144","training"
"RW1145","training"
"RW1146","holdout"
"RW1147","training"
"RW1148","training"
"RW1149","holdout"
"RW1150","training"
"RW1151","training"
"RW1152","training"
"RW1153","training"
"RW1154","holdout"
"RW1155","training"
"RW1156","training"
"RW1157","training"
"RW1158","training"
"RW1159","training"
"RW1160","training"
"RW1161","training"
"RW1162","training"
"RW1163","holdout"
"RW1164","training"
"RW1165","training"
"RW1166","holdout"
"RW1167","holdout"
"RW1168","training"
"RW1169","training"
"RW1170","holdout"
"RW1171","training"
"RW1172","holdout"
"RW1173","training"
"RW1174","training"
"RW1175","training"
"RW1176","training"
"RW1177","training"
"RW1178","training"
"RW1179","training"
"RW1180","training"
"RW1181","holdout"
"RW1182","holdout"
"RW1183","training"
"RW1184","training"
"RW1185","training"
"RW1186","training"
"RW1187","training"
"RW1188","holdout"
"RW1189","holdout"
"RW1190","training"
"RW1191","training"
"RW1192","training"
"RW1193","training"
"RW1194","training"
"RW1195","training"
"RW1196","training"
"RW1197","training"
"RW1198","training"
"RW1199","training"
"RW1200","training"
"RW1201","training"
"RW1202","training"
"RW1203","training"
"RW1204","training"
"RW1205","training"
"RW1206","training"
"RW1207","training"
"RW1208","training"
"RW1209","training"
"RW1210","training"
"RW1211","training"
"RW1212","training"
"RW1213","holdout"
"RW1214","training"
"RW1215","holdout"
"RW1216","training"
"RW1217","training"
"RW1218","training"
"RW1219","holdout"
"RW1220","training"
"RW1221","training"
"RW1222","training"
"RW1223","training"
"RW1224","training"
"RW1225","training"
"RW1226","training"
"RW1227","training"
"RW1228","holdout"
"RW1229","training"
"RW1230","holdout"
"RW1231","holdout"
"RW1232","training"
"RW1233","training"
"RW1234","training"
"RW1235","training"
"RW1236","training"
"RW1237","training"
"RW1238","training"
"RW1239","training"
"RW1240","training"
"RW1241","training"
"RW1242","training"
"RW1243","holdout"
"RW1244","training"
"RW1245","training"
"RW1246","training"
"RW1247","training"
"RW1248","training"
"RW1249","training"
"RW1250","training"
"RW1251","training"
"RW1252","training"
"RW1253","training"
"RW1254","training"
"RW1255","training"
"RW1256","training"
"RW1257","training"
"RW1258","training"
"RW1259","holdout"
"RW1260","holdout"
"RW1261","training"
"RW1262","training"
"RW1263","training"
"RW1264","holdout"
"RW1265","training"
"RW1266","holdout"
"RW1267","training"
"RW1268","training"
"RW1269","training"
"RW1270","training"
"RW1271","training"
"RW1272","training"
"RW1273","training"
"RW1274","training"
"RW1275","training"
"RW1276","training"
"RW1277","training"
"RW1278","training"
"RW1279","training"
"RW1280","training"
"RW1281","training"
"RW1282","training"
"RW1283","training"
"RW1284","training"
"RW1285","holdout"
"RW1286","training"
"RW1287","training"
"RW1288","training"
"RW1289","training"
"RW1290","training"
"RW1291","training"
"RW1292","training"
"RW1293","holdout"
"RW1294","training"
"RW1295","training"
"RW1296","holdout"
"RW1297","training"
"RW1298","training"
"RW1299","training"
"RW1300","training"
"RW1301","holdout"
"RW1302","training"
"RW1303","holdout"
"RW1304","training"
"RW1305","training"
"RW1306","training"
"RW1307","training"
"RW1308","holdout"
"RW1309","training"
"RW1310","training"
"RW1311","training"
"RW1312","training"
"RW1313","holdout"
"RW1314","training"
"RW1315","training"
"RW1316","training"
"RW1317","training"
"RW1318","training"
"RW1319","training"
"RW1320","training"
"RW1321","training"
"RW1322","training"
"RW1323","holdout"
"RW1324","holdout"
"RW1325","holdout"
"RW1326","training"
"RW1327","training"
"RW1328","training"
"RW1329","training"
"RW1330","holdout"
"RW1331","training"
"RW1332","holdout"
"RW1333","training"
"RW1334","training"
"RW1335","training"
"RW1336","training"
"RW1337","training"
"RW1338","training"
"RW1339","training"
"RW1340","training"
"RW1341","training"
"RW1342","training"
"RW1343","training"
"RW1344","training"
"RW1345","training"
"RW1346","training"
"RW1347","training"
"RW1348","training"
"RW1349","training"
"RW1350","training"
"RW1351","training"
"RW1352","training"
"RW1353","training"
"RW1354","training"
"RW1355","training"
"RW1356","training"
"RW1357","training"
"RW1358","training"
"RW1359","training"
